Manufacturer,Product,Link,Mobility / Size,Method,Price ($),Resolution (mm),Accuracy (mm),Number of sensors,Dimsensions (cm),Texture,Scanning Time
EvixScan3D,Heavy Duty Basic,evixscan3d.com,Stationary,SL,10k- 50k,-,0.02,3,430x220x65,Yes,-
,Heavy Duty Optima,,Stationary,SL,10k- 50k,-,0.0183,3,430x220x65,Yes,-
,Heavy Duty Quadro,,Stationary,SL,10k- 50k,-,0.013,5,520x280x95,Yes,-
Polyga,Carbon,polyga.com,Stationary,SL,14.9k,0.362,0.05,2,13x41x12,Yes,1.2 s
,Compact L6,,Stationary,SL,11.9k,0.18,0.08,2,5.5x12.9x40,Yes,1.2 s
,Polyga H3,,Handheld,SL,9990,0.5,0.08,2,28x20x6,Yes,-
Shining 3D,Freescan X7,shining3d.com,Handheld,SL*,-,0.05,0.03,2,13x9x31,No,-
,EinscanPro 2X,,Handheld,SL,5499,0.2,0.04,3,37x36.5x13.5,Yes,-
,EinscanPro 2X Plus,,Handheld,SL,6899,0.2,0.04,3,37x36.5x13.5,Yes,-
,Einscan H,,Handheld,SL,,3,0.05,-,10.8x11x23.7,Yes,-
Peel 3D,Peel 1,peel-3d.com,Handheld,SL,5990,0.5,0.25,2,9.6x14x25.8,No,90 s
,Peel 2,,Handheld,SL,7690,0.5,0.25,4,15x17.1x25.1,Yes,90 s
Faro,Freestyle3D,faro.com,Handheld,SL*,10k- 20k,0.2,1.5,-,260x310x105,Yes,-
,Freestyle3D X,,Handheld,SL*,10k- 50k,0.2,1,-,26x31x10.5,Yes,-
Creaform,GO!Scan Spark,creaform3d.com,Handheld,SL,39.9k,0.2,0.05,-,8.9x11.4x34.6,Yes,-
,HandyScan Black,,Handheld,SL*,50k- 100k,0.1,0.035,9,14.2x7.9x28.8,No,-
,HandyScan Black Elite,,Handheld,SL*,50k- 100k,0.025,0.025,11,14.2x7.9x28.8,No,-
Occipital,Structure Sensor,structure.io,Mini,SL,379,-,-,3,-,Yes,-
BodyGee,Orbiter,bodygee.com,Stationary,ToF,-,-,-,-,-,Yes,90 s
,Boxx,,Stationary,ToF,-,-,-,-,-,Yes,-
Intel,RealSense LiDAR Camera L515,intelrealsense.com,Mini,ToF,349,-,14,2,6.1x2.6,-,-
,RealSense Depth Camera D455,,Mini,PS,239,-,-,3,12.4x2.6x2.9,No,-
,RealSense Depth Camera D435i,,Mini,PS,179,-,-,4,9x2.5x2.5,No,-
,RealSense Depth Camera D415,,Mini,PS,149,-,-,3,9.9x2x2.3,No,-
